Type,Location,Bath,Bedrooms,Precinct,Total Area,Total Price
1,"Bahria Town, Karachi",3,3,Precinct 12,125,14500000
2,"Bahria Town, Karachi",3,2,Precinct 19,106,7500000
1,"Bahria Town, Karachi",6,5,Bahria Town,500,37500000
1,"Bahria Town, Karachi",3,3,Bahria Town,125,14000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,17500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,15300000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,20000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15500000
1,"Bahria Town, Karachi",4,4,Sports City,350,26000000
1,"Bahria Town, Karachi",5,5,Precinct 1,272,42500000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,24000000
1,"Bahria Town, Karachi",5,4,Precinct 47,272,26000000
1,"Bahria Town, Karachi",4,4,Bahria Town,250,28000000
1,"Bahria Town, Karachi",4,3,Precinct 12,125,14500000
1,"Bahria Town, Karachi",3,3,Precinct 2,150,19600000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,23500000
1,"Bahria Town, Karachi",3,3,Precinct 27,200,17500000
2,"Bahria Town, Karachi",3,3,Precinct 19,250,19500000
1,"Bahria Town, Karachi",4,4,Sports City,350,22200000
2,"Bahria Town, Karachi",1,1,Bahria Town,61,4700000
2,"Bahria Town, Karachi",1,1,Bahria Town,56,4500000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,7500000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,7500000
2,"Bahria Town, Karachi",1,1,Precinct 8,57,5376000
2,"Bahria Town, Karachi",1,1,Precinct 8,57,5376000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,14500000
1,"Bahria Town, Karachi",4,4,Precinct 12,125,8600000
2,"Bahria Town, Karachi",2,2,Precinct 11-A,114,10800000
1,"Bahria Town, Karachi",4,4,Sports City,350,20500000
1,"Bahria Town, Karachi",5,5,Precinct 1,272,29500000
2,"Bahria Town, Karachi",2,2,Precinct 10-A,106,9100000
1,"Bahria Town, Karachi",5,5,Precinct 1,250,38500000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,22500000
1,"Bahria Town, Karachi",4,4,Precinct 27,235,17300000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,150,16000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,20500000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,12500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,17000000
1,"Bahria Town, Karachi",4,4,Bahria Town,350,23500000
2,"Bahria Town, Karachi",1,1,Precinct 8,57,5376000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,15000000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,16000000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,15000000
1,"Bahria Town, Karachi",4,4,Precinct 27,235,18800000
2,"Bahria Town, Karachi",3,3,Bahria Town,250,16800000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,6500000
1,"Bahria Town, Karachi",2,2,Precinct 1,274,41000000
2,"Bahria Town, Karachi",2,2,Bahria Town,97,8732000
1,"Bahria Town, Karachi",4,3,Precinct 12,125,15500000
1,"Bahria Town, Karachi",5,4,Precinct 35,350,22500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,19200000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,19500000
2,"Bahria Town, Karachi",2,2,Bahria Town,92,6600000
1,"Bahria Town, Karachi",3,3,Bahria Town,125,14500000
1,"Bahria Town, Karachi",5,4,Precinct 30,272,26000000
2,"Bahria Town, Karachi",1,2,Bahria Town,122,6800000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,25000000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,13800000
1,"Bahria Town, Karachi",4,4,Sports City,350,21400000
2,"Bahria Town, Karachi",1,1,Bahria Town,61,4700000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",3,3,Bahria Greens,75,9500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,16000000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,21000000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,21000000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,21000000
1,"Bahria Town, Karachi",2,2,Precinct 31,235,15200000
1,"Bahria Town, Karachi",2,2,Precinct 31,235,15200000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,9500000
1,"Bahria Town, Karachi",3,3,Precinct 1,272,36000000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,7000000
1,"Bahria Town, Karachi",3,3,Bahria Town,125,9000000
1,"Bahria Town, Karachi",4,3,Precinct 10-A,200,19200000
2,"Bahria Town, Karachi",1,1,Bahria Town,84,7917000
1,"Bahria Town, Karachi",5,5,Precinct 51,500,43500000
1,"Bahria Town, Karachi",3,3,Precinct 27,200,16400000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,9600000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,19800000
1,"Bahria Town, Karachi",6,5,Bahria Golf City,500,35500000
1,"Bahria Town, Karachi",5,4,Sports City,350,22000000
2,"Bahria Town, Karachi",3,2,Bahria Town,122,6800000
1,"Bahria Town, Karachi",4,3,Precinct 27,235,15500000
1,"Bahria Town, Karachi",4,3,Precinct 31,235,15000000
1,"Bahria Town, Karachi",4,4,Bahria Town,125,12500000
1,"Bahria Town, Karachi",2,2,Precinct 31,235,15200000
1,"Bahria Town, Karachi",2,2,Precinct 12,125,13000000
1,"Bahria Town, Karachi",2,2,Precinct 12,125,13000000
1,"Bahria Town, Karachi",2,2,Precinct 12,125,13000000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,7500000
2,"Bahria Town, Karachi",1,1,Bahria Town,61,4500000
2,"Bahria Town, Karachi",1,1,Bahria Town,61,4700000
2,"Bahria Town, Karachi",1,1,Bahria Town,61,5000000
1,"Bahria Town, Karachi",4,4,Precinct 1,250,40000000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8500000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,8000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,20500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,19500000
2,"Bahria Town, Karachi",2,2,Bahria Town,96,9288000
2,"Bahria Town, Karachi",2,2,Bahria Town,96,9460000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,19600000
1,"Bahria Town, Karachi",5,4,Precinct 32,272,23000000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,17000000
1,"Bahria Town, Karachi",4,3,Precinct 31,235,15000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,20000000
1,"Bahria Town, Karachi",4,4,Sports City,350,23000000
1,"Bahria Town, Karachi",6,5,Precinct 51,500,40000000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,24000000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,7700000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,15600000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",3,3,Bahria Greens,75,9500000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,16500000
1,"Bahria Town, Karachi",4,4,Sports City,350,21500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,15000000
1,"Bahria Town, Karachi",4,4,Bahria Town,238,21000000
2,"Bahria Town, Karachi",2,2,Bahria Town,117,8700000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,23000000
1,"Bahria Town, Karachi",4,3,Bahria Town,200,20500000
