Type,Price,Location,Bath,Area,Purpose,Bedrooms,Added,Precinct ,Main Features,,,
House,PKR1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,3 hours ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,106 Sq. Yd.,For Sale,2,4 hours ago,Precinct 19,"Main FeaturesBuilt in year: 2022Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in BuildingOther Main FeaturesFurnishedRoomsBedrooms: 2Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",,,
,,,,,,,,,,,,
House,PKR3.75 Crore,"Bahria Town Karachi, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,5 hours ago,Not Found,"Main FeaturesBuilt in year: 2024Parking Spaces: 3Double Glazed WindowsFlooringElectricity BackupWaste DisposalFloors: 2FurnishedRoomsBedrooms: 5Bathrooms: 6Servant Quarters: 1Drawing RoomDining RoomKitchens: 2Study RoomPowder Room Store Rooms: 1Laundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyCommunity FeaturesCommunity Lawn or GardenHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.4 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,1 day ago,Not Found,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR1.75 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago,Precinct 10-A,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
